Name,Rating,Address,Reviews
Botte Brooklyn,4.3,"327 Gold St, Brooklyn, NY 11201","[""The food was absolutely impeccable and came very quick. The salad didn't come out before the mains so the manager gave us gelato and orangcello shots on the..."", 'Visited Botte Brooklyn with a friend of mine during a weekend trip during my first time to New York, and I can say that I really enjoyed myself! It was...', 'I really like the ambiance of this place. Servers were great and quick to take our order as well which made our dinner finish in a timely fashion.\n\nOn to...']"
Celestine,3.9,"1 John St, Brooklyn, NY 11201","['I had a lovely time here. Beautiful view and good service. \n\nThe eggplant appetizer was not what I thought it was. I love eggplants and I was expecting more...', ""This was my first time coming in with my family for my dad's birthday. We were running quite late. The staff was super accommodating and allowed me to..."", 'Unfortunately, we were a bit disappointed from our experience at Celestine. We decided to book reservations for this place for our 3 year anniversary due to...']"
Lucky Rabbit Noodles,4.7,"140 Plymouth St, Brooklyn, NY 11201","[""Stumbled in when I was in the area & craving dumplings and wow! This place didn't disappoint. \n\nI asked what the most popular dumplings & noodles were and..."", 'I came here recently on a rainy Sunday night to order some takeout after hearing about the place from a friend on social media, in particular, their matza...', 'A tiny place that seats a little under 10 people, Lucky Rabbit is a bustling pop of color and energy behind an unassuming door. Be ready for a crowded and...']"
Mokyo,4.6,"109 St Marks Pl, New York, NY 10009","[""YUMMM. \n\nMade a reservation about a day or two in advance for a Wednesday night dinner at 6:00. Didn't realize they open at 6, so we were the first people..."", 'Had a girls dinner here recently and everything was so delicious.  Portions are small as they are tapas but they were all so tasty.\n\nMy favorites were steak...', 'Cute date night spot. Get the noodles and corn dumplings a must! \n\nThe lobster roll, oxtail spring rolls, and the plantain were good too. \n\nRibs... not so much.']"
Izakaya Fuku,4.4,"71-28 Roosevelt Ave, Jackson Heights, NY 11372","[""I was able to dine in this time! \n\nI've ordered delivery but dining in is the way to go. My friend and I went around 5:30pm on a Saturday. There were still..."", ""I'm literally obsessed with Izakaya Fuku's  bentos and for good reason. The presentation is always spot on that it inspires me to make my own bento -- we'll..."", ""4.5. Love this place! 70's music, divey, kitschy ambiance with vintage advertising and movie posters covering the walls and tin canisters for stools....""]"
Carne Mare,4.4,"89 South St, Pier 17, New York, NY 10038","[""One of the best steakhouse experiences we've had in NYC\n\nAmbiance:\n-great lighting, nice space, very welcoming environment\n-you'll get better quality food..."", ""Carne Mare is a fantastic spot and I would definitely be back albeit I don't frequent downtown Manhattan that often.  Everything that my friends and I..."", 'Visited during restaurant week for lunch. Food, service, and ambiance exceeded my expectations. Coat check was a plus. The hostess was very sweet and walked...']"
Em Vietnamese Bistro,4.3,"57 Front St, Brooklyn, NY 11201","[""Soothing, zen atmosphere with incredible chicken wings, watermelon cooler slushie, and beef pho. Can't wait to come back and have all of this again, plus..."", 'i really wanted to like this, place, and want to support local business, but I did not enjoy my recent takeaway lunch.\n\nI ordered a grilled pork chop on...', ""Em Vietnamese Bistro is a fairly new restaurant in the Dumbo neighborhood. After it's opening, I've heard numerous recommendations to try it out because the...""]"
Cafe Mogador,4.4,"133 Wythe Ave, Brooklyn, NY 11211","['Food - Tasty and current. We ordered the tajin. \nService - Nice and kind service.\nAmbiance - Relaxed atmosphere and stylish crowd', 'I really enjoyed my Moroccan eggs dish. It was tasty and filling. \n\nThe chicken terrine was great! You can choose between 4 sauces- my wife got the chickpea...', ""I've been in a Williamsburg state of mind and two streets have caught my attention: Berry and Wythe.\nI wanted to eat breakfast out this morning and decided...""]"
8282,4.6,"84 Stanton St, New York, NY 10002","['(Overall: A+) - Last night, I visited an innovative michelin guide Korean-forward Asian fusion restaurant in Lower East Side and was quite impressed!...', ""Pretty underwhelming place. My boyfriend and I celebrated our Valentine's Day dinner late because the only time available was end of February at 8282. \n\nWe..."", 'Overall had a good experience some dishes stood out more than others. Considering that this is a tapas restaurant I recommend ordering two dishes per person...']"
Fishmarket Restaurant,4.4,"111 South St, New York, NY 10038","[""If you can find your way into this spot, it's so warm and welcoming.  Everyone seems to know everyone and the hospitality couldn't have been better.  It's a..."", 'Food (5/5): Wow the food is absolutely amazing and delicious. Truly a hole in the wall type of place with really great dishes and food. I ordered the beef...', ""This is the epitome of a local dive bar. \nHard to find, if you can open the door you're lucky. \n\nStrong drinks. Good pricing for the area.""]"
Westville,4.2,"81 Washington St, Brooklyn, NY 11201","['Tasty, healthy food. Friendly servers. Great location.\n\nI met an out-of-town friend for lunch on December 27th. There is a magnificent view of the Manhattan...', 'Pretty good brunch spot in DUMBO!\n\nGot a couple of market veggies on a platter\n- brussels sprouts with dijon honey was super good, must try this!\n- roasted...', ""This place is a 3.5. It's good but nothing jaw dropping. \n\nI had a great meal for $24 of grilled salmon and pesto mashed potatoes and Moroccan fries. All...""]"
RH Rooftop Restaurant New York,4.1,"9 9th Ave, New York, NY 10014","[""A vibe is a vibe is a vibe is a vibe lol \n\nLet's get into this ONE! Hands down one of the best brunches I have been too and yal know I'm a brunch girlie!..."", ""Went here off a friends recommendation and honestly was not impressed. Overpriced brunch food. I'm think people go here for the ambiance and the decor. The..."", 'A beautiful rooftop restaurant tucked into the heart of the Meatpacking District (and inside of a luxury furniture store) -- the ambiance was so nice and...']"
Shu Jiao Fu Zhou,4.5,"295 Grand St, New York, NY 10002","['Best peanut noodles on earth, extremely reasonable prices! Anytime i go to New York i have to come here!', 'This place is to die for. There is no better bang for you buck! I could eat the dumplings every day of my life. \n\nWe can here as a recommendation from...', 'Ten dollars for a delicious and fulfilling meal sounded like something that was too good to be true. So when I heard that such a place existed, I had to...']"
The Rogue Panda,4.6,"55 Water St, Ste 5, Brooklyn, NY 11201","[""Had a go at the Rouge Panda spot in the Time Out food hall, opted for the dan dan noodles again. Can't get enough of that Impossible Pork ragu, honestly...."", ""Food was great, service was even better - I highly recommend!! \n\nThe rolls don't come with a sauce because there's a sauce inside and it was divine."", 'VEGAN REVIEW\n\nYum! Excited to have a 100% plant based option in the Time Out food hall\n\nHad the Brussels & dan dan noodles. Both were tasty & fresh. Large...']"
Ruby's Cafe - East Village,4.4,"198 E 11th St, New York, NY 10003","['Loved my dinner here! We had a 6pm reservation on a Friday night. It was already pretty busy and the only tables they were offering walk-ins were outside...', ""Whether it's brunch, lunch, happy hour, or dinner, Ruby's Cafe in East Village is always a hit. This time, I went for a date night. We both ordered the..."", 'I had brunch here with a friend on a Sunday around 3pm. I had a reservation and was seated immediately inside. It was lively, kind of loud and hard to hear...']"
Little Kirin,4.7,"81 St Marks Pl, New York, NY 10003","['Little Kirin is bringing big flavor to a little shop in the big city. The experience is nothing short of enjoyable: very friendly staff, cozy seating with...', ""Finally able to give this gem a try and OMG! I can't wait to go back and try more off their menu. Everything was great, from the service to the food!  \n\nNot..."", ""Heard the pho sandwich here was really good so I decided to give it a try.\n\nWas it amazing? I don't think it was amazing like everyone says. It had a sweet...""]"
Gair,5,"41 Washington St, Brooklyn, NY 11201","['This new menu is unreal, such a good vibe highly recommend. The chicharrones and shrimp skewers blew my mind. Oysters were fresh and delicious.', 'The design and feel of this restaurant is welcoming and chic. After a day of shopping in Dumbo my friend and I decided to pop on and have a burger. The...']"
Toriya,4.8,"178 Stanton St, New York, NY 10002","[""A Little Sister Shines Bright\n\nToriya, the younger sibling of Midtown East's ToriBar, proves the adage that size doesn't matter. While smaller, Toriya..."", 'Nice new place for Toribar! I recommend if you drink and come for happy hour. Every day of the week they have a cheap $1 special. Highly recommend the fried...', ""tl;dr yakitori lovers rejoice!\n\nIn my yakitori era, I often fantasize about getting a beer and eating skewers at a no frills place. This place didn't have...""]"
YunShang Rice Noodle House,4.1,"53 Bayard St, New York, NY 10014","[""This is hands down my absolute favorite soup spot in Manhattan.\n\nWith its late-night hours, it's the perfect spot to unwind after a hectic day, especially..."", ""The ambiance seems calm. The tables are spaced far enough apart that even when fuller, the restaurant isn't too loud. Service was okay and the food didn't..."", ""I'm going to preface this by saying i've had better rice noodles, HOWEVER for $12.00 with unlimited rice noodle refills this is an INSANE DEAL! \n\nI got the...""]"
Aoi Kitchen,4.3,"320 E 6th St, New York, NY 10003","['Aoi has great Japanese food, a cute atmosphere, and fair prices. They were recently recognized by the Michelin guide and I can see why!\n\nI came here with...', 'The food was solid, but echoing some previous reviews, the protein portion of the ""large plates"" was ridiculously small. The curry was also a tad too watery...', ""Made a reservation with a few people on a weeknight for dinner. There were a few tables left, and the servers were all friendly. It's a tight, clean...""]"
Mareluna,4.5,"137 Sullivan St, New York, NY 10012","['5 stars for their pasta dishes, ambience, and service.\nOur family of 6 came here for dinner and because of a gps mix up, we ended up 20 minutes late for our...', ""3.5 stars if I could be more exact, but I'll be a good sport and bump it up to 4.\nTo drink, I started with the Mareluna Bellini, and here is where I dock..."", ""It's Restaurant Week in NYC folks! and it's one  of my favorite weeks of the year! Why? Easy! I get to try restaurants at a great price and if all goes well...""]"
Butler,4.2,"40 Water St, Brooklyn, NY 11201","['We stopped by for coffee and a chocolate croissant before a concert in the park nearby. Fast service a clean restroom and a great people watching view were...', 'Food was fantastic!! \nCoffee actually have grate taste but bit overpriced.\n\nDefinitely will come back with my friend. Nice music playlist as well', 'Went to this place on a whim after watching the sun rise on Brooklyn Bridge Park! You can see Brooklyn Bridge from the windows  +for the...']"
Crab House All You Can Eat Seafood,4.4,"135 E 55th St, New York, NY 10022","['Great seafood, fresh and served warm! Everything came out warm and delicious. I really enjoyed the pan seared salmon.', 'Staff and service is great!!!! Anzhane was our server and she was amazing!!! Bubbly personality and great customer service', ""Robin is a fantastic server!! Visiting from out of town and they made my boyfriend's birthday really special!""]"
Noodle Village,3.9,"13 Mott St, New York, NY 10013","[""Shrimp and Pork Wonton  Soup with Udon - the soup is ve very bland no taste .. udon isn't fresh. \n\nYau Choy with Oyster Sauce- great. \n\nWonton with Hot and..."", ""The food here was great. The soup dumplings were a hit. People seemed to reorder them and it's clear why. I had the shrimp and pork dumpling ramen soup...."", 'Great spot to get your classic noodles fix.\n\nCame on a rainy Sunday night craving something soupy. About half the tables were filled around 5:30 pm. Service...']"
Al Badawi,4.4,"151 Atlantic Ave, Brooklyn, NY 11201","['This is one of my favourite restaurants in NYC. I have been known to order it en route home from the airport after a business trip and want to eat something...', ""This place was amazing and lived up to the hype. I left completely satisfied. Not only was the food and service great, but it's also a really pretty..."", 'I would say food was very good and ambiance super cute; for the amount of food you get, very reasonable prices as well. Only area that suffers a bit is the...']"
Uncle Lou 快樂人,4.2,"73 Mulberry St, New York, NY 10013","['Dim sum and chinese food, count me in. When in NY, get yourself some Chinese food. You cannot go wrong. The prices are great and the portions here. Holy. So...', ""This is a 3.5 but I won't round up \nI will come back a second time because I was tired \nIt wins for ambiance \nCaters to a more ABC/White clientele \nIt's..."", 'Delicious Cantonese eats in a cozy setting -- stopped in for a Friday dinner for 2 and the restaurant was bustling, but the wait for a small party was ~25...']"
The Frenchman's Dough,4.2,"96 South St, New York, NY 10038","[""Late August, i went to have pizza at The Frenchman's Dough. Located on the second floor of the Tin Building, I was keen on trying yet another restaurant in..."", ""just don't.\n\nhost asked how many and said the table is getting ready then walks away for like 5mins.  felt abandoned.  another person checked in with us but..."", 'We were a large group and ordered one of each pizza.  It was a great way to try all of them.  The lemon one was by far my favorite.\n\nThe staff was great,...']"
Upstate Craft Beer & Oyster Bar,4.4,"95 1st Ave, New York, NY 10003","['I finally had the chance to stop by Upstate and it was well worth the wait! Initially, my plan was to have oysters and go home. I took a seat at the bar...', ""I'd say solid 3 stars compared to similar places in Manhattan. I'd bump it up to 3.5 for the Branzino alone!\n\nOrdered:\n* 2 Upstate Dubbels (Belgian beer) \n*..."", 'Everything was good except for the squid ink pasta. It was way too salty.\n\nThe oysters happy hour and clam pasta was great though! Would come back again.']"
High Lúa Vietnamese Kitchen,4.3,"182 S 2nd St, Brooklyn, NY 11211","['I believe a super sweet brother and sister run High Lúa, and I am grateful that they nourished me during the pandemic. They were my go-to place, and I...', ""One of the best grilled pork vermicelli bowls I've had so far in NY. Currently on a binge of 4 vermicelli bowls over the past 5 days and so far this takes..."", 'I like to give another place a chance but some time the food I get is less than my expectations. I was in a mood for Nem nướng but seems like only authentic...']"
Lin & Daughters,4.6,"181 West 4th St, New York, NY 10014","['Loved this place!!!\nJust stumpled upon it while I was walking by and had a great experience. It was so cold out so my friend and I each got the chicken...', 'Went here recently with a friend for dinner. Really small shop with minimal and tight seating, but pretty cozy. We went on a weekday, and very little wait,...', 'Cute little dumpling place but ended up with food poisoning. Nasty diarrhea, gas, bloating  should have paid heed to the Grade PENDING!!!\n\nUpdate: lack of...']"
La Contenta,4.5,"102 Norfolk St, New York, NY 10002","[""When I moved to NY I was already aware that there isn't good Mexican food in the city. It doesn't help that I'm also very picky because I grew up with..."", 'Very impressed with this place! I had to make a fairly large reservation, and they were very nice accommodating me every step of the way as I kept changing...', 'Excellent bartender, watermelon jalapeno margarita was delicious! Happy hour nachos are a must. Small spot, worth the wait.']"
Cobble Fish,4.1,"89 S St, Pier 16, New York, NY 10038","['Cobble Fish is a gem. This restaurant sits down on Pier 16, between the perpetually transforming Pier 17 and newly revamped Pier 15. Flanked by the Ambrose,...', 'On a nice day, the ambience at Cobble Fish is unbeatable.  I hope they use heaters during the rest of the year. We enjoyed lobster rolls, sliders, drinks,...', ""To ensure Cobble Fish's meals were prepared as good as they were initially received, a second visit is always recommended to verify food preparation...""]"
Clover Hill,4.6,"20 Columbia Pl, Brooklyn, NY 11201","[""Dined here for my birthday in November and was one of the most memorable dinners I've ever had! \n\nI was intrigued to try this place and thrilled to meet the..."", 'I came here with my fiancée during the week for his birthday and this place is worth the hype! The atmosphere is top notch: warm, welcoming and intimate....', 'Before typing, I was struggling to decide on ""excellent,"" ""outstanding"" or ""amazing.""\n\nI took Husband here for his birthday last night, and it was...']"
The Four Horsemen,4.4,"295 Grand St, Brooklyn, NY 11211","['After many random nights of trying to walk in and get a seat, we finally managed to get one where we had to wait less than 20 minutes on a Wednesday night....', ""I couldn't get reservations so I just walked in and was able to get a spot. The food was delicious and wonderfully plated. Service was great too - food came..."", 'Securing a last-minute 10 pm reservation at Four Horsemen on a random weeknight was a rare and exciting find. The hype surrounding the place had us eagerly...']"
Tin Building by Jean-Georges,4.2,"96 South St, New York, NY 10038","[""Worth a visit, especially for foodies. The Tin Building Market reminds me of Montreal's Jean Talon market but smaller and curated for New York. You'll find..."", 'I was visiting my dad in the office in Downtown Manhattan to help him out a little when we got hungry and decided to stop by the Tin Building for lunch. I...', ""Such a cute place. With lots of really good food! \n\nThe upstairs with all the restaurants don't have the best views but is really cozy. \n\nThe downstairs is...""]"
Sunday in Brooklyn,4,"348 Wythe Ave, Brooklyn, NY 11249","[""Okay- we had the BEST time. Daniel is the best server possible. I've eaten all over the world and it's not often that the service is this good. I don't..."", ""Came here to celebrate my dad's birthday brunch and we were blown away by the food and service. Our server was attentive and had brought in a heater for us..."", 'I write a Yelp review *maybe* once a year. Twice a year max.  It is a special occasion when I write a review. Tonight is one of those rare, special...']"
Vineapple,4.3,"71 Pineapple St, Brooklyn, NY 11201","['I came here for a evening meal with quite a few foodies and wow this place is a hidden gem.\n\nThe great:\n1. Just simply amazing pasta with quite a few...', 'A classic brunch spot serving classic brunch food, I would recommend Vineapple if you are looking to catch up with a group of friends in a cozy, casual...', 'My friends and I just happened to stumble across this place and we are so glad we did. They have great happy hour specials. We got some delicious pizza...']"
Taboonette,4.3,"30 E 13th St, New York, NY 10003","['LOVE THIS PLACE!\n\nJust like being in israel  \n\nStaff is wonderful. \n\nWould definitely recommend.', 'Came here for dinner and had a pleasant experience.\n\nThis is a smaller, hole-in-the-wall kind of place with a decent sized menu. My friend got the shawarma...', 'i enjoyed my salmon plate for lunch! It was the perfect amount of food! Ingredients tasted fresh and the rice was especially delicious. The white sauce was...']"
Nem's Japandi Bistro,4.5,"80 N 6th St, Brooklyn, NY 11249","[""Wow! Asian AND Scandinavian fusion cuisine?! Now that sounds interesting! Located in the National Sawdust Factory building, Nem's is self described as a..."", 'I recently visited Brooklyn and found this new restaurant. The staff and owner were so sweet and attentive. We ordered fried shrimp appetizer and Hojicha...']"
Nem's Japandi Bistro,4.5,"80 N 6th St, Brooklyn, NY 11249","[""Wow! Asian AND Scandinavian fusion cuisine?! Now that sounds interesting! Located in the National Sawdust Factory building, Nem's is self described as a..."", 'I recently visited Brooklyn and found this new restaurant. The staff and owner were so sweet and attentive. We ordered fried shrimp appetizer and Hojicha...']"
Dawn’s ‘Til Dusk,4.3,"33 Main St, Brooklyn, NY 11201","['Such a great spot to hang on a Friday afternoon and work. WiFi and delicious mocha, hot chocolate, avocado toast, and egg salad sandwich. Grab a seat in the...', 'I always pass this spot and decided to grab something off there food menu. I typically only get there mini cookies which are truly so good. \n\n\nCute shop to...', 'Really loved the vibe of this cafe, but the food was a bit of a miss for me. I opted for the breakfast bowl, which looked beautiful but was very heavy on...']"
Wenwen,4,"1025 Manhattan Ave, Brooklyn, NY 11222","['I fundamentally am not a huge brunch person, but Wenwen brunch has been on my radar for quite a while so when a friend was visiting from out of town and we...', ""Had a fine but unmemorable meal here. Perhaps it's because I didn't order the best items, but none of the dishes I had I felt were either that creative or..."", ""The hype around Wenwen has died down a little, which means it's a bit easier to get one of the limited-to-5-per-day first-come-first-serve BDSM chickens...""]"
Zaab Zaab,4,"208 Grand St, Brooklyn, NY 11211","[""Friendly service and cute and aesthetic dining interior. You don't need to make a reservation here as it isn't super popular but definitely underrated. This..."", 'I was excited to finally try Zaab Zaab after hearing about their well rated Elmhurst location. Fortunately, their success allowed them to open a Brooklyn...', 'F this place! \n\nThe food was meh, nothing great, its decent Thai food you can get anywhere. The service was atrocious, the waitstaff are so cold and...']"
Little Maven,4.7,"30 W 18th St, New York, NY 10011","['Highly recommend! The atmosphere was chill and welcoming. The Tuna Tartare ""Cannolis"" was magical! OMGosh, the Butternut Squash Agnolotti was heavenly!...', 'Food, ambiance and service were great! Got the tuna tartar cannolis, mini lobster rolls, ceasar cups, steak frites and milk & cookies - everything was...', 'HAPPY BIRTHDAY NOAH!\n\nWent for a last minute birthday dinner and the staff + food was AMAZING! Will be my new go-to dinner spot']"
Luke's Lobster Brooklyn Bridge Park,3.9,"11 Water St, Brooklyn, NY 11201","[""Luke's Lobster in Brooklyn Bridge Park is a nice little food stall with good service. We tried the lobster flight and thought it was great! It comes with..."", ""This is probably on me for ordering a lobster roll for delivery but it was really not good. I actually ordered the Luke's Trio (lobster, crab, shrimp) and..."", ""If you like lobster rolls this is the spot! Super chunky pieces of lobster, can be ordered hot or cold. \nNot too much restaurant seating but if you don't...""]"
Zhego NYC,4.7,"38-4 61st St, Woodside, NY 11377","['Was so excited to try cuisine from Bhutan and was eager to try this restaurant out given the great media coverage and positive Yelp reviews.\n\nI love South...', 'For most of 2023, Zhego NYC has been a bright star shining in the Queens dining scene with glowing write ups in the New Yorker, New York Magazine, Eater and...', ""A couple blocks from the 7 Train's 61st St - Woodside stop. It's a small space with some outdoor seating. I would recommend eating outside if it's nice out...""]"
Valerie,4.3,"45 W 45th St between 5th & 6th Ave, New York, NY 10036","[""I've been to this restaurant twice and love everything I've tried! They have the most extensive cocktail menu I've ever seen (it's literally a book) and the..."", ""I went to Valerie for a date and Isabella was a fantastic server. She made our experience what it was and she was the best server I've had at any NYC bar to..."", ""In town for a work and was surprised to find a place close to my hotel in Times Square that wasn't touristy. I looked at photos on Yelp and was definitely...""]"
886,4,"26 Saint Marks Pl, New York, NY 10003","['Quality/taste: We ordered the popcorn chicken, plain scallion pancake, fried rice, and the black pepper beef with the lychee soju. Everything was fresh and...', 'This is my second in time here... \n\nThis place is better suited for just a quick bite appetizer type place, eating a full meal here is eh. The beef noodle...', 'Solid Taiwanese restaurant in East Village - 4, 4.5/5.\n\nWas in the area on a weeknight and decided to give 886 a try when I noticed it was nearby (been...']"
The River Café,4.1,"1 Water St, Brooklyn, NY 11201","['My second time here solidified the Mediterranean Sea bass in a shrimp crust as my fav dish in the burrow. Rivaled only by the sea bass at cafe Boulud in the...', 'Came for my 5 year anniversary with my boyfriend. We had an awesome time. We used the valet parking and just had to drive up to the front. As soon as we...', 'One of the most romantic restaurants in New York. Service is impeccable. The views are fantastic and the food is absolutely delicious. My seared foie gras...']"
Lula Mae,4.6,"472 Myrtle Ave, Brooklyn, NY 11205","['Holy f this place is so good. I had never had Cambodian food before, and was so beyond impressed. Reno, our server, told us to order the perfect amount of...', 'Unfortunately, pretty mid. Ended up spending $80/pp on 3 dishes (1 dish was an appetizer) and 2 drinks total....\n\nDefinitely ask about the cost of the...', ""Came here for a private party with friends and I'm dying to go back. Pretty heavy on the garlic, cilantro, and lime - but honestly one of the best combos...""]"
Piccola Cucina Osteria,4.3,"196 Spring St, New York, NY 10012","['Giving 5 stars mainly for the table side Tiramisu. Such a unique experience. Saw a video on social media and had to bookmark and try it out myself\n\nThe...', ""Omg it's like I went to Italy. This place was soooooo cute. Very tight inside but really feels like you're in a small restaurant in Italy. The service was..."", ""Solids pastas - gnocchi was majority fav but couldn't go wrong with any of the pasta choices as they were all delicious.\n\nWe definitely felt rushed in which...""]"
Lillo Cucina Italiana,4.8,"331 Henry St, Brooklyn, NY 11201","['Absolutely loved this place!  Their artichoke appetizer and Cacio Pepe were amazing! I picked this place while I had an 8 hour layover at JFK. Best decision...', 'Do not eat here. The food may be top notch but the service is not. I was treated rudely by who I think was the owner as a solo diner and that is not how you...', 'Went around 2PM on a Saturday, and was able to get a table for 2. Seating seems a bit limited, so there is definitely a chance you may need to take out. It...']"
Au Cheval,4.3,"33 Cortlandt Aly, New York, NY 10013","['Server was wackadoodle! \nTook forever to get drinks and kept forgetting everything. \nBut this review is mainly about the food!  \nTop 5 burger of all time...', 'Still a really good burger. No longer my #1, but definitely still top 10. Came\nFor lunch today and still have a great atmosphere. Service was awesome. I was...', 'My boyfriend and I dined here for his bday! We started with a highland sour and bourbon old fashioned. The highland sour was good but nothing special. The...']"
Gatsby's Landing Times Square,4.3,"120 West 44th St, New York, NY 10036","['Great food. \n\nCambria (waitress) was EXCELLENT. \n\nThis place has a good vibe and it was a great experience.', 'Pros: \n- delicious, wide selection of food\n- friendly, quick service\n- easy to make reservations on Open Table\n- located in midtown and are respectful of...', ""Gatsby's Landing in Times Square is a fantastic choice, especially for larger parties. The staff had no problem seating 9 of us! This was a HUGE help \n\nThe...""]"
LĒNA,4.5,"137 Eldridge St, New York, NY 10002","['If you\'ve read more than a few of my reviews, you have seen me write ""this is MY New York.""\n\nAs I wander the city, I currently find new places that feel as...', 'Came here for dinner but was pretty disappointed. The service was very attentive and I have nothing bad to say about that. Our waitress came over to check...', 'Classics done to perfection \n\xa0\nCliff notes -- 10/10 would recommend, the atmosphere was fun, lively but not obnoxious. There was everyone from a birthday...']"
Nón Lá,4.5,"128 E 4th St, New York, NY 10003","['Solid bowl of Bun Bo Hue and delicious Vietnamese iced coffee!\n\nPerfect for a quick lunch! In and out', ""Walked into Non La on a chilly Saturday evening and got a warm bowl of beef ball pho soup! It's a cozy but tight spot inside with not a lot of seating, so a..."", ""My new favorite Vietnamese place in the city!! \nSo good. Can't wait to come back. \nThe pho was great! It was a cold rainy day and just what I needed. We...""]"
